frame.number,frame.time,wlan.sa,wlan.ra,frame.len,wlan.fc.retry,wlan.bssid,wlan.seq,wlan_radio.channel,wlan.fc.type,wlan.fc.subtype,wlan.fixed.timestamp,wlan.fixed.beacon,wlan.ssid,wlan.rsn.akms.count,wlan.rsn.akms.type,wlan.fixed.auth.alg,wlan.fixed.auth_seq,wlan.fixed.status_code,wlan.fixed.finite_cyclic_group,wlan.fixed.aid,wlan.fixed.reason_code,eapol.keydes.type,wlan_rsna_eapol.keydes.msgnr,label
1737,"Jan 10, 2021 04:08:50.108060177 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,2352,1,0,8,0x0000000008844a60,16,Aya's Galaxy ,1,2,,,,,,,,,attack
984,"Jan 10, 2021 04:08:06.145576852 EET",d6:7e:a7:8e:35:cb,ce:6b:60:77:85:72,389,0,d6:7e:a7:8e:35:cb,690,1,0,5,0x0000000115e10a5a,100,Aya's Galaxy ,2,3,,,,,,,,,attack
1778,"Jan 10, 2021 04:08:53.562848641 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,2562,1,0,8,0x0000000008b90180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2000,"Jan 10, 2021 04:09:08.193756174 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,3453,1,0,8,0x0000000009984180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
182,"Jan 10, 2021 04:07:18.765035437 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,351,0,d6:7e:a7:8e:35:cb,1372,1,0,8,0x00000001130e1180,100,Aya's Galaxy ,1,2,,,,,,,,,attack
1660,"Jan 10, 2021 04:08:46.452318797 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,2129,1,0,8,0x00000000084c81a0,16,Aya's Galaxy ,1,2,,,,,,,,,attack
1208,"Jan 10, 2021 04:08:22.794073064 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,686,4,0,8,0x0000000006e38180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2387,"Jan 10, 2021 04:09:33.899867337 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,925,1,0,8,0x000000000b208180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2925,"Jan 10, 2021 04:10:17.677585230 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,3595,1,0,8,0x000000000dbc8180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
35,"Jul 30, 2023 13:10:49.304499000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,208,0,d6:7e:a7:8e:35:cb,434,11,0,8,0x00000000000c3466,0,Aya's Galaxy ,2,3,,,,,,,,,normal
470,"Jan 10, 2021 04:07:36.935667443 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,1984,1,0,8,0x000000000427c180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
1079,"Jan 10, 2021 04:08:13.406040940 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,113,1,0,8,0x0000000006544180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
249,"Jul 30, 2023 13:14:22.543043000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,234,0,d6:7e:a7:8e:35:cb,648,11,0,8,0x0000000000c506cf,0,Aya's Galaxy ,2,3,,,,,,,,,normal
2056,"Jan 10, 2021 04:09:11.978242468 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,3684,1,0,8,0x0000000009d20180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2134,"Jan 10, 2021 04:09:17.614346190 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,4028,4,0,8,0x000000000a280180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
1799,"Jan 10, 2021 04:08:53.677567995 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,2569,1,0,8,0x0000000008bac180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2444,"Jan 10, 2021 04:09:39.519676031 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,1268,4,0,8,0x000000000b764180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2962,"Jan 10, 2021 04:10:21.150954681 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,3807,1,0,8,0x000000000df18180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2708,"Jan 10, 2021 04:10:02.915817104 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,2696,1,0,8,0x000000000cdb4180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2799,"Jan 10, 2021 04:10:10.206481473 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,3141,1,0,8,0x000000000d4a8180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
1140,"Jan 10, 2021 04:08:17.190723971 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,344,1,0,8,0x00000000068e0180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2353,"Jan 10, 2021 04:09:32.294523227 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,827,4,0,8,0x000000000b080276,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2247,"Jan 10, 2021 04:09:24.970798644 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,381,4,0,8,0x000000000a984180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
243,"Jul 30, 2023 13:14:10.935806000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,240,0,d6:7e:a7:8e:35:cb,642,11,0,8,0x0000000000145320,0,Aya's Galaxy ,2,3,,,,,,,,,normal
689,"Jan 10, 2021 04:07:48.043746515 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,2662,1,0,8,0x0000000004d14180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2277,"Jan 10, 2021 04:09:26.559045534 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,351,0,d6:7e:a7:8e:35:cb,2620,1,0,8,0x000000011aac1180,100,Aya's Galaxy ,2,3,,,,,,,,,attack
801,"Jan 10, 2021 04:07:57.235138341 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,3223,4,0,8,0x00000000055d8180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
1777,"Jan 10, 2021 04:08:53.546471135 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,2561,1,0,8,0x0000000008b8c180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2275,"Jan 10, 2021 04:09:26.527068180 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,476,1,0,8,0x000000000ab00180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
469,"Jan 10, 2021 04:07:36.919187628 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,1983,1,0,8,0x0000000004278180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
657,"Jan 10, 2021 04:07:47.863598905 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,2651,1,0,8,0x0000000004ce8180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2798,"Jan 10, 2021 04:10:10.190120404 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,3140,1,0,8,0x000000000d4a4180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2523,"Jan 10, 2021 04:09:44.786028721 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,351,0,d6:7e:a7:8e:35:cb,2798,1,0,8,0x000000011bc23180,100,Aya's Galaxy ,2,3,,,,,,,,,attack
157,"Jan 10, 2021 04:07:17.143858677 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,777,4,0,8,0x0000000002f9c180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2174,"Jan 10, 2021 04:09:19.170841005 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,27,1,0,8,0x000000000a3fc180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2117,"Jan 10, 2021 04:09:15.582691572 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,3904,1,0,8,0x000000000a090180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2729,"Jan 10, 2021 04:10:04.996574274 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,2823,4,0,8,0x000000000cfb0181,16,Aya's Galaxy ,1,2,,,,,,,,,attack
1230,"Jan 10, 2021 04:08:24.448686656 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,787,1,0,8,0x0000000006fcc180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2168,"Jan 10, 2021 04:09:19.105185037 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,23,1,0,8,0x000000000a3ec180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
1733,"Jan 10, 2021 04:08:50.073062399 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,2350,1,0,8,0x000000000883c180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2205,"Jan 10, 2021 04:09:21.237635131 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,153,4,0,8,0x000000000a5f4ac9,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2206,"Jan 10, 2021 04:09:21.317060327 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,158,4,0,8,0x000000000a608180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2669,"Jan 10, 2021 04:09:59.262054423 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,2473,1,0,8,0x000000000ca38180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
3020,"Jan 10, 2021 04:10:24.837307228 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,4032,1,0,8,0x000000000e29c180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
639,"Jan 10, 2021 04:07:46.290689920 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,2555,4,0,8,0x0000000004b68180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2885,"Jan 10, 2021 04:10:16.170207578 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,3503,4,0,8,0x000000000da58180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
