frame.number,frame.time,wlan.sa,wlan.ra,frame.len,wlan.fc.retry,wlan.bssid,wlan.seq,wlan_radio.channel,wlan.fc.type,wlan.fc.subtype,wlan.fixed.timestamp,wlan.fixed.beacon,wlan.ssid,wlan.rsn.akms.count,wlan.rsn.akms.type,wlan.fixed.auth.alg,wlan.fixed.auth_seq,wlan.fixed.status_code,wlan.fixed.finite_cyclic_group,wlan.fixed.aid,wlan.fixed.reason_code,eapol.keydes.type,wlan_rsna_eapol.keydes.msgnr
115,"Jul 30, 2023 13:11:57.265707000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,145,11,0,8,0x0000000002938689,0,Aya's Galaxy ,1,1,,,,,,,,
116,"Jul 30, 2023 13:11:57.265707000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,215,48,0,8,0x0000000a5ca9ff63,0,Orange-8605,1,1,,,,,,,,
117,"Jul 30, 2023 13:11:58.281432000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,145,11,0,8,0x0000000002a5f734,0,Aya's Galaxy ,1,1,,,,,,,,
118,"Jul 30, 2023 13:11:58.282432000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,217,48,0,8,0x0000000a5cb97fb6,0,Orange-8605,1,1,,,,,,,,
119,"Jul 30, 2023 13:11:59.278759000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,145,11,0,8,0x0000000002a5f734,0,Aya's Galaxy ,1,1,,,,,,,,
120,"Jul 30, 2023 13:11:59.279759000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,219,48,0,8,0x0000000a5cc89c52,0,Orange-8605,1,1,,,,,,,,
121,"Jul 30, 2023 13:12:03.765237000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,236,0,d6:7e:a7:8e:35:cb,145,11,0,8,0x0000000002e18325,0,Aya's Galaxy ,1,1,,,,,,,,
122,"Jul 30, 2023 13:12:03.765237000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,221,48,0,8,0x0000000a5cd2ac35,0,Orange-8605,1,1,,,,,,,,
123,"Jul 30, 2023 13:12:04.393175000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,145,11,0,8,0x0000000003006bd3,0,Aya's Galaxy ,1,1,,,,,,,,
124,"Jul 30, 2023 13:12:04.395174000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,223,48,0,8,0x0000000a5d16bc8e,0,Orange-8605,1,1,,,,,,,,
125,"Jul 30, 2023 13:12:05.440281000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,145,11,0,8,0x0000000003100b8b,0,Aya's Galaxy ,1,1,,,,,,,,
126,"Jul 30, 2023 13:12:05.440281000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,225,48,0,8,0x0000000a5d26c130,0,Orange-8605,1,1,,,,,,,,
127,"Jul 30, 2023 13:12:06.468513000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,147,11,0,8,0x00000000032026b8,0,Aya's Galaxy ,1,1,,,,,,,,
128,"Jul 30, 2023 13:12:06.468513000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,227,48,0,8,0x0000000a5d366fec,0,Orange-8605,1,1,,,,,,,,
129,"Jul 30, 2023 13:12:07.462968000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,147,11,0,8,0x00000000032f4b84,0,Aya's Galaxy ,1,1,,,,,,,,
130,"Jul 30, 2023 13:12:07.462968000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,229,48,0,8,0x0000000a5d459cc6,0,Orange-8605,1,1,,,,,,,,
131,"Jul 30, 2023 13:12:11.996980000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,147,11,0,8,0x0000000003384b96,0,Aya's Galaxy ,1,1,,,,,,,,
132,"Jul 30, 2023 13:12:11.996980000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,231,48,0,8,0x0000000a5d4e7c26,0,Orange-8605,1,1,,,,,,,,
133,"Jul 30, 2023 13:12:12.584604000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,147,11,0,8,0x00000000037d6b6e,0,Aya's Galaxy ,1,1,,,,,,,,
134,"Jul 30, 2023 13:12:12.585607000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,233,48,0,8,0x0000000a5d93bc27,0,Orange-8605,1,1,,,,,,,,
135,"Jul 30, 2023 13:12:13.793929000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,147,11,0,8,0x00000000038d8705,0,Aya's Galaxy ,1,1,,,,,,,,
136,"Jul 30, 2023 13:12:13.794930000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,235,48,0,8,0x0000000a5da3ffa8,0,Orange-8605,1,1,,,,,,,,
137,"Jul 30, 2023 13:12:14.671843000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,147,11,0,8,0x00000000039d2ae2,0,Aya's Galaxy ,1,1,,,,,,,,
138,"Jul 30, 2023 13:12:14.672844000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,237,48,0,8,0x0000000a5db39ff4,0,Orange-8605,1,1,,,,,,,,
139,"Jul 30, 2023 13:12:15.700845000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,147,11,0,8,0x0000000003accb76,0,Aya's Galaxy ,1,1,,,,,,,,
140,"Jul 30, 2023 13:12:15.701845000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,239,48,0,8,0x0000000a5dc33fdc,0,Orange-8605,1,1,,,,,,,,
141,"Jul 30, 2023 13:12:20.152485000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,236,0,d6:7e:a7:8e:35:cb,147,11,0,8,0x0000000003d2232e,0,Aya's Galaxy ,1,1,,,,,,,,
142,"Jul 30, 2023 13:12:20.152545000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,241,48,0,8,0x0000000a5dc33fdc,0,Orange-8605,1,1,,,,,,,,
143,"Jul 30, 2023 13:12:20.779273000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,147,11,0,8,0x0000000003fa6b8c,0,Aya's Galaxy ,1,1,,,,,,,,
144,"Jul 30, 2023 13:12:20.779273000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,243,48,0,8,0x0000000a5e10bc0c,0,Orange-8605,1,1,,,,,,,,
145,"Jul 30, 2023 13:12:21.799523000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,147,11,0,8,0x00000000040a0b58,0,Aya's Galaxy ,1,1,,,,,,,,
